 , ,BI3214,BI3224,BI3234,BI3244,BI3254,BI3264,BI3274,BI3284,BI3294,BI3413,BI3423,BI3433,BI3444,BIO312,BIO402,BIO415,BIO463,CH3214,CH3224,CH3234,CH3243,CH3253,CH4214,CH4224,CHM402,CHM410,CHM420,CHM423,CHM428,CHM433,CHM442,DS4613,EC3214,EC3224,EC3234,EC3243,EC3253,EC3264,EC3274,EC3284,EC3293,EC4213,EC4224,EC4234,ECS402,ECS442,ECS456,HS3213,HS3223,HS3234,HS3244,HS3253,HS3264,HS3274,HSS367,HSS368,HSS402,MT3214,MT3224,MT3244,MT3254,MTH402,MTH411,MTH422,MTH423,MTH424,MTH426,PH3253,PH3264,PH3273,PH4213,PHY342,PHY402,PHY420,PHY422,PHY434,PHY441,PHY463,PHY464,PHY557,CD
10,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
11,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
12,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y, ,Y, ,Y,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
13,Test, , , , , , , , , ,Y, ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y, , , , , , , , , , , , , , , , , ,Y, , ,Y, , , , , , , , ,24
14,Test, , , , , , , , , , ,Y, , , , , , , , , , , , ,Y, , , , , , , , ,Y, , ,Y, , , ,Y, ,Y, , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24
15,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y,Y, , ,Y, ,Y, , , , , , , , , , , , , ,22
16,Test, , , , , , , ,Y,Y, ,Y, , , , , ,Y, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
17,Test, , , , , ,Y, ,Y,Y, , ,Y, , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
18,Test, ,Y, ,Y, , , , ,Y, , ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,22
19,Test, , ,Y, ,Y, , , ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y, , , , , , , , , , , , , ,23
20,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y,Y, , , , , , , ,Y,Y, , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , ,20
21,Test,Y,Y, , ,Y, , , ,Y, , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
22,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
23,Test, ,Y, , , , , , ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,23
24,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , ,Y, ,Y, , , , , ,24
25,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y, ,Y,Y,Y, , ,Y, ,Y,23
26,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
27,Test, , , , , , , ,Y,Y, , ,Y, , ,Y, ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
28,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
29,Test, , , , , ,Y, , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , ,Y, , ,Y, , ,Y, , ,Y, , , ,25
30,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y, , ,Y, , ,Y,Y, , ,Y, ,Y,24
31,Test, , , , , , , , , , , , , , , , , , , , , , ,Y,Y, , ,Y, ,Y, , , , , , ,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , ,25
32,Test, , ,Y, , ,Y, , ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, , , , , , , , , , , ,23
33,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
34,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
35,Test,Y, ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
36,Test, , , ,Y, , , , , , ,Y,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20
37,Test, , ,Y, ,Y, , ,Y, , ,Y,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
38,Test, , ,Y, , ,Y, ,Y, , , ,Y, , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
39,Test, , ,Y, , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , ,Y, , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, , , , , , , , ,20
40,Test, , , ,Y, ,Y, , , , ,Y,Y, , ,Y, ,Y, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
41,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y,Y,Y, ,Y, , ,24
42,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
43,Test, , ,Y,Y, , , , , , , , ,Y, ,Y, ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
44,Test, , , ,Y, , ,Y, ,Y, ,Y,Y, , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
45,Test, , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y,Y,Y, ,Y, ,Y,23
46,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, ,Y,Y,Y, , ,Y, , , , , , , , , , , , ,23
47,Test, , ,Y, , , , , , , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , ,Y,Y, , , , , , , , , , , , , ,22
48,Test, , , , , ,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, ,Y, ,Y, , , , , , , , , , , , , ,23
49,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , ,Y, , ,Y,Y,Y, , ,Y, , ,23
50,Test, , ,Y, , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y,Y, ,Y, , , , , , , , , , , ,22
51,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
52,Test, , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , ,Y, , , , ,Y, , , ,Y, , , , , , ,Y, , , , , , , , , , , , , , , , , , , , ,21
53,Test, , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , ,Y, ,22
54,Test, , , , , ,Y, , ,Y, ,Y,Y, , , , , , , , , , , , , , , , , , , ,Y, , , , , , , ,Y, , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24
55,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
56,Test, , , ,Y, , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y, , , ,Y, ,Y, , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,25
57,Test, , , , , ,Y, , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , ,Y, , ,Y, , ,Y, , ,Y, , , ,25
58,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,20
59,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y,Y, , ,Y,Y, , , , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
60,Test, , ,Y, , , , ,Y, , ,Y, , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
61,Test, , ,Y, ,Y, , , , , ,Y, , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
62,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y, , ,Y, , , , ,20
63,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
64,Test, , , ,Y, , ,Y, ,Y, , ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,22
65,Test, ,Y, ,Y, , , ,Y, , , , , , ,Y, , , , , , , , , , , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
66,Test, , , , , , , , , , , , , , , , , , , , , , ,Y,Y, , ,Y, ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19
67,Test, , , , , , , , , , , , , , , , , , , , , , ,Y,Y, , ,Y,Y, ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
68,Test, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , ,Y, , , ,Y,Y, , , , , , , , , , , , ,Y, , , , , , , , , , , , , ,23
69,Test,Y, , ,Y, , , ,Y, ,Y, ,Y, , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
70,Test, , , , , , , , , , ,Y, , , , , , , , , , , , ,Y,Y,Y,Y, ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
71,Test, , ,Y, , , ,Y,Y, , , ,Y,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
72,Test, , ,Y, , ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24
73,Test, , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y, , , ,Y, ,Y, , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
74,Test, , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, ,Y,Y, ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21
75,Test, , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , ,Y,Y, ,Y, , , , , , , , , , , , , ,Y, , , , , , , , , , , , , ,23
76,Test, , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y, , ,Y,Y,Y, ,23
77,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y, , ,Y,Y, , ,Y,Y,Y,23
78,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
79,Test, , ,Y, , , , ,Y, , ,Y,Y, , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
80,Test, , ,Y, , , ,Y, , , , ,Y, , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
81,Test, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , ,Y, , , , , , , , ,Y, , , , , , , , , , , , , ,Y, , , ,Y, , , , , , , , , , , , , ,22
82,Test, , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y, ,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18
83,Test, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , ,Y, , , , , , , , ,Y, , , , , , , , ,Y, ,Y, , , , , , , , , , , ,22
84,Test, , , , , , ,Y, ,Y,Y,Y,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20
85,Test, , , ,Y, ,Y, ,Y, , , ,Y, , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
86,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
87,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
88,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
89,Test, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y,Y,Y,Y, , , , , , , , , , , , , , , ,23
90,Test, , , ,Y, , ,Y, , , , , , , ,Y, , , , , , , , , , , ,Y,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
91,Test, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y,Y,Y, , ,Y, ,24
92,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
93,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , ,Y,Y, ,Y, ,Y, , , , , , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24
94,Test, , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , ,Y, , , , , , , ,22
95,Test, , , ,Y, , ,Y,Y,Y, , ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
96,Test, , , , , , , , , , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y, , , ,Y, , , , , , , , , , , , , ,21
97,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y, , ,Y, , , ,Y, , ,Y, ,Y,20
98,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
99,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , , , ,24
100,Test, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , ,Y, , ,Y, , , ,Y,Y, , , ,Y,24
101,Test, , , ,Y, , , , , , , , , , ,Y, , , , , ,Y, , , , , ,Y, , , , , ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21
102,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y, , , , , ,Y, , ,Y,Y, , , , , , , , , , , , ,Y, , , , , , , , , , , , , ,24
103,Test, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , ,Y, , , , , , ,Y,Y, ,Y, ,Y,24
104,Test, , , , , ,Y, , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y, ,Y,Y,Y, , , ,24
105,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
106,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
107,Test, , ,Y, ,Y, , , , , ,Y,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
108,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y,Y, ,Y,Y, , , , , , , , , , , , , , , ,19
109,Test, , , , , , , ,Y,Y, , , , , , , ,Y, , ,Y, , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20
110,Test, , , ,Y, ,Y,Y, , , ,Y,Y, , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
111,Test, ,Y,Y, , ,Y, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y, , , , , , , , , , , , , ,23
112,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , ,Y,Y,Y,Y, ,Y, ,Y,23
113,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
114,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y, ,Y,Y,Y,Y,Y, , , ,23
115,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y, ,Y, ,Y, , , ,Y,Y,19
116,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
117,Test, , , , , , , ,Y, , , , ,Y, ,Y, ,Y, , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
118,Test, , , , , , , , ,Y, , ,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,19
119,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , ,Y,Y,Y,Y, ,Y, , ,23
120,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
121,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y, ,Y,Y,Y, , ,Y, ,Y,23
122,Test, , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , ,Y,Y,Y, , , ,Y, , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
123,Test, , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , ,Y, ,Y,Y, ,Y,Y, , , , , , , , , , , , , , , ,25
124,Test, , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , ,Y, ,Y,Y, ,Y, ,Y,23
125,Test, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y,Y,Y,Y, , , , , , , , , , , , , , ,24
126,Test, , ,Y, , , , , ,Y, , ,Y, , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,25
127,Test, , , ,Y, , , ,Y, , , ,Y,Y, ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
